you re probably tired .,vous etes probablement fatiguees .
i m sorry if i embarrassed you .,je suis desolee si je vous ai embarrasse .
i m more than happy .,je suis plus que contente .
i am almost scared to talk with you .,je suis presque effraye de vous parler .
he s loaded .,il est plein aux as .
i m not sure about that .,je n en suis pas sure .
i am going to leave my present job .,je vais quitter mon emploi actuel .
i m heartbroken .,j ai le c ur brise .
you are drunk !,tu es bourre !
i m starved .,j ai l estomac dans les talons .
you re old enough to know better .,tu devrais le savoir a ton age .
he is one of the american presidential candidates .,il est un des candidats aux presidentielles americaines .
i m eating .,je mange .
he isn t my cousin .,ce n est pas mon cousin .
you re not wanted here .,on ne veut pas de toi ici .
we re studying chinese .,nous etudions le chinois .
i m sorry i shot you .,je suis desolee de vous avoir tire dessus .
we re not throwing it away .,nous n allons pas le jeter .
we re waiting for the right time .,nous attendons le bon moment .
i m already rich .,je suis deja riche .
she is very much like her mother .,elle ressemble beaucoup a sa mere .
i m tired of waiting in line .,je suis fatigue de faire la file .
i m always under pressure .,je suis toujours sous pression .
i m in a good mood today .,je suis de bonne humeur aujourd hui .
i m practically an expert now .,je suis desormais pour ainsi dire un expert .
they re going to make mistakes .,elles vont commettre des erreurs .
i m a little confused .,je suis un peu perplexe .
i m headed back into town .,je suis en route pour retourner en ville .
i m calling from tom s mobile phone .,j appelle depuis le telephone portable de tom .
he is a critic rather than a novelist .,il est critique plutot que romancier .
i am french .,je suis francais .
i m not perfect .,je ne suis pas parfait .
you re too trusting .,vous etes trop confiants .
i m not selling anything .,je ne vends rien du tout .
we re in danger .,nous sommes en danger .
i m glad you re doing better .,je me rejouis que vous vous portiez mieux .
we re not rich .,nous ne sommes pas riches .
i m not afraid of you .,je n ai pas peur de vous .
you re so sweet .,vous etes tellement gentils !
you are responsible for what you do .,vous etes responsable de ce que vous faites .
i m not at all tired .,je ne suis pas fatiguee du tout .
he is a student at harvard .,il est etudiant a harvard .
he s getting old .,il se fait vieux .
he s not in our group .,il n est pas dans notre groupe .
i m sorry to have bothered you .,je suis desolee de vous avoir derangee !
you re not my type .,tu n es pas mon genre .
i am very sad .,je suis tres triste .
you re extroverted .,vous etes extraverti .
he s very talented .,il est tres talentueux .
i m going to catch the next bus .,je vais attraper le bus suivant .
i m not tall .,je ne suis pas grand .
i m out of control .,je suis incontrolable .
you re afraid aren t you ?,vous avez peur pas vrai ?
he is going to the concert .,il va au concert .
we re all bored .,nous nous ennuyons toutes .
he s cleaning his rifle .,il nettoie sa carabine .
she is two years older than you .,elle est deux ans plus vieille que vous .
i m from the west coast .,je suis de la cote ouest .
you re very angry .,vous etes tres en colere .
you re crafty .,vous etes ruses .
they re waiting for you .,ils vous attendent .
i m glad you met tom .,je suis heureuse que tu aies rencontre tom .
i m certain that he ll come .,je suis certain qu il viendra .
she is very wise .,elle est tres sage .
i m asking you for your help .,je requiers votre aide .
he is going to run for mayor .,il va se presenter aux elections municipales .
he is eager to please .,il cherche a plaire .
you re ruthless .,vous etes sans pitie .
you re opportunistic .,vous etes des opportunistes .
he is sharp witted .,il a l esprit vif .
she is wearing a valuable ring .,elle porte une bague de prix .
i m the one who killed tom .,je suis celui qui a tue tom .
she is two years older than you .,elle est deux ans plus vieille que toi .
you re all happy .,vous etes toutes contentes .
i m just doing my job .,je ne fais que mon travail .
we re downsizing .,nous reduisons la voilure .
i am loved by my mother .,je suis aime de ma mere .
i m firing you .,je vous vire .
i m trying not to cry .,j essaye de ne pas pleurer .
we re leaving tomorrow .,nous partirons demain .
i m going crazy .,je deviens folle .
you re ambitious .,vous etes ambitieuses .
you re unforgettable .,vous etes inoubliable .
you re one savvy negotiator .,vous etes un negociateur avise .
i am paid weekly .,je suis payee a la semaine .
she s the teacher s pet .,c est la chouchoute de la prof .
i am japanese .,je suis japonais .
they re wrong .,ils ont tort !
i m scared of heights .,j ai peur de la hauteur .
you re charming .,vous etes charmants .
you re not the only woman here .,tu n es pas la seule femme ici .
i m a married man now .,je suis un homme marie maintenant .
i am anxious about his health .,je suis inquiet pour sa sante .
you re very resourceful .,tu es plein de ressources .
i m sorry to have disturbed you .,je suis desole de t avoir derange .
he s english but lives in india .,il est anglais mais habite en inde .
i m getting used to eating alone .,je m habitue a manger seule .
i am taking french next year .,je prends francais l annee prochaine .
he is a good tennis player .,c est un bon joueur de tennis .
he s a bad liar .,il ment mal .
they are very kind .,ils sont tres bienveillants .
i m color blind .,je suis daltonien .
he s still sick in bed .,il est toujours cloue au lit .
i am busy today .,je suis occupe aujourd hui .
he isn t back from the mountain .,il n est pas revenu de la montagne .
you re going to lose .,vous allez perdre .
i m the spokesperson for this organization .,je suis le porte parole de cette institution .
she s nice .,elle est gentille .
he is studying agriculture .,il etudie l agronomie .
you re the prisoner .,c est toi le prisonnier .
i m not convinced of that .,je n en suis pas convaincue .
she s as busy as tom .,elle est aussi occupee que tom .
you re out of order .,tu es hors service .
we re not going to make it .,ca va pas le faire .
they re all liars .,ce sont toutes des menteuses .
he s an oceanographer .,il est oceanographe .
you are my hero .,vous etes mon heros .
he s already left .,il est deja parti .
you re too old for me .,vous etes trop vieilles pour moi .
you are trusted by every one of us .,tu as la confiance de tous .
you re half right .,tu as a moitie raison .
i m by your side .,je suis avec vous .
you re nice .,vous etes sympas .
we are looking forward to seeing you soon .,nous sommes impatients de vous voir .
i m perfectly all right .,je suis parfaitement bien .
i m losing weight .,je perds du poids .
i m not scared of you anymore .,je n ai plus peur de vous .
he s loaded .,il est blinde .
i m fascinated by cats .,je suis fascine par les chats .
i m using the computer .,je suis en train d utiliser l ordinateur .
you re germans aren t you ?,vous etes allemands n est ce pas ?
you re being watched .,on te regarde .
he is one of my neighbours .,c est l un de mes voisins .
i m glad that makes you happy .,je suis contente que ca te rende heureuse .
he s your friend .,il est ton ami .
i m sure tom was involved .,je suis sur que tom etait implique .
he s not all there .,il n est pas tout a fait la .
i am exhausted .,je suis fourbu .
you re foolish .,tu es imprudente .
i m relaxed .,je suis detendue .
he is likely to be late for school .,il est surement en retard pour l ecole .
i m fine . how about you ?,je vais bien et toi ?
he s after me .,il est derriere moi .
he is a heroin addict .,il est dependant a l heroine .
i am allowed to swim in the river .,je peux nager dans la riviere .
we re as good as dead now .,nous sommes desormais pour ainsi dire mortes .
we are all set .,nous sommes toutes pretes .
i m glad to see you again .,je me rejouis de vous revoir .
you re wasting ammo .,vous gaspillez des munitions .
he is too old .,il est trop vieux .
you are early .,tu es matinal .
i m ready for a break .,je suis pret pour une pause .
she is dressed in white .,elle est vetue de blanc .
he is washing a car .,il nettoie une voiture .
i am from brazil .,je viens du bresil .
we are influenced by our environment .,nous sommes influences par notre environnement .
we re contributing .,nous contribuons .
he is likely to win the game .,il a des chances de gagner la partie .
you re always complaining .,tu te plains toujours .
we re missing something here .,nous ratons quelque chose ici .
i m leaving for canada tomorrow .,je pars pour le canada demain .
you are a student .,vous etes une etudiante .
i m sure we can work this out .,je suis sure que nous pouvons arranger ca .
i m feeling confused .,je me sens confuse .
i m smarter than you .,je suis plus intelligente que vous .
you re very direct .,tu es tres direct .
i m being harassed .,je me fais harceler .
he s intelligent .,il est intelligent .
i m okay .,je vais bien .
you re not allowed in here .,vous n etes pas autorise a penetrer ici .
you re putting words in my mouth .,vous me mettez les mots dans la bouche .
he is not himself today .,il n est pas lui meme aujourd hui .
i m really not busy .,je ne suis vraiment pas occupee .
i m tired of arguing .,j en ai assez de me disputer .
we re hiding .,nous nous cachons .
he s young and attractive .,il est jeune et attirant .
we are sorry for the inconvenience .,nous sommes desolees pour le derangement .
she is blackmailing him .,elle le fait chanter .
we re not on a date .,nous ne sortons pas ensemble .
he s old enough to be her father .,il est assez vieux pour etre son pere .
i m not sure i m ready .,je ne suis pas sur d etre pret .
i m sorry to bother you so often .,je suis desolee de vous deranger si souvent .
i m afraid not .,je crains que non .
they are singers .,ils sont chanteurs .
we are faced with a host of problems .,nous sommes confrontes a une multitude de problemes .
he s too old for you .,il est trop vieux pour vous .
